身長,性別,名前,上半身比率,下半身比率,骨格タイプ
169,女,レイ（IVE）,3.575230717,6.424769283,ストレート
169,女,ミンジ(NewJeans),4.153390642,5.846609358,ストレート
169,女,ユナ（ITZY）,3.820633389,6.179366611,ナチュラル
169,女,中条あやみ,3.982779627,6.017220373,ウェーブ
169,女,新垣結衣,3.698121019,6.301878981,ウェーブ
170,女,ヘイン（NewJeans）,3.569464041,6.430535959,ストレート
170,女,リズ（IVE）,3.608926297,6.391073703,ストレート
170,女,ユンジン（LE SEERAFIM）,4.057437841,5.942562159,ストレート
170,女,カズハ（LE SEERAFIM）,3.958209213,6.041790787,ナチュラル
170,女,イソ（IVE),3.676212551,6.323787449,ナチュラル
170,女,ツウィ（TWICE）,4.102867616,5.897132384,ウェーブ
,,,,,
171,女,ニナ（NiziU）,3.964330594,6.035669406,ナチュラル
171,女,三吉彩花,4.037938882,5.962061118,ウェーブ
172,女,ユジン（IVE）,4.440455707,5.559544293,ストレート
,,,,,
172,女,ウンチェ（LE SEERAFIM）,3.802276119,6.197723881,ウェーブ
172,女,菜々緒,3.613767684,6.386232316,ウェーブ
173,女,ウォニョン（IVE）,3.591296741,6.408703259,ウェーブ
